year,yearName,comb
1,1985,7.92
2,1986,7.92
3,1987,9.39
4,1988,10.72
5,1989,11.73
6,1990,13.84
7,1991,13.87
8,1992,13.88
9,1993,13.91
10,1994,14.37
11,1995,14.51
12,1996,14.54
13,1997,14.56
14,1998,17.35
15,1999,18.23
16,2000,20.44
17,2001,26.21
18,2002,26.37
19,2003,26.55
20,2004,26.84
21,2005,27.2
22,2006,27.79
23,2007,28.09
24,2008,28.64
25,2009,28.98
26,2010,29.28
27,2011,29.82
28,2012,31.69
29,2013,32.39
30,2014,32.75
31,2015,33.13
32,2016,40.12
33,2017,41.03
34,2018,41.93
35,2019,42.64
36,2020,43.37
37,2021,44.22
38,2022,44.9
39,2023,45.17
40,2024,45.34
41,2025,45.44
