year,yearName,0.1-1%,1-10%,>10%,total
1,1985,0,0,0,0
2,1986,0,0,0,0
3,1987,0,0,0,0
4,1988,0,0,0,0
5,1989,0,0,0,0
6,1990,0,0,0,0
7,1991,0,0,0,0
8,1992,0,0,0,0
9,1993,0,0,0,0
10,1994,0,0,0,0
11,1995,0,0,0,0
12,1996,0,0,0,0
13,1997,0,0,0,0
14,1998,0,0,0,0
15,1999,0,0,0,0
16,2000,0,0,0,0
17,2001,0,0,0,0
18,2002,0,0,0,0
19,2003,0,0,0,0
20,2004,0,0,0,0
21,2005,0,0,0,0
22,2006,0,0,0,0
23,2007,0,0,0,0
24,2008,0,0,0,0
25,2009,0,0,0,0
26,2010,0,0,0,0
27,2011,0,0,0,0
28,2012,0,0,0,0
29,2013,0,0,0,0
30,2014,0,0,0,0
31,2015,0,0,0,0
32,2016,0,0,0,0
33,2017,0,0,0,0
34,2018,0,0,0,0
35,2019,0,0,0,0
36,2020,0,0,0,0
37,2021,0,0,0,0
38,2022,0,0,0,0
39,2023,0,0,0,0
40,2024,0,0,0,0
41,2025,0,0,0,0
