yearName,population,populationGrowthPercentage,year,uba,ubaGrowthPercentage,density,populationUrbanGrowthRatio
2015,1060742.1502126604,NA,31,107.76,0.984,9843.561,NA
2016,1093305.9243290909,3.07,32,130.45,21.056,8381.034,0.146
2017,1126428.991172703,3.03,33,133.29,2.177,8450.964,1.392
2018,1160215.943155446,2.999,34,135.94,1.988,8534.765,1.509
2019,1194888.3788108963,2.988,35,138.09,1.582,8652.968,1.889
2020,1230105.2387581067,2.947,36,140.36,1.644,8763.93,1.793
2021,1265865.4455723688,2.907,37,142.96,1.852,8854.683,1.57
2022,1301996.3566691112,2.854,38,145.4,1.707,8954.583,1.672
2023,1340460.1869965978,2.954,39,146.41,0.695,9155.523,4.25
2024,1379382.3969988376,2.904,40,146.87,0.314,9391.859,9.248
2025,1417792.2422592384,2.785,41,147.2,0.225,9631.741,12.378
